Day,bitcoin
2020-01-21,25
2020-01-22,26
2020-01-23,29
2020-01-24,24
2020-01-25,23
2020-01-26,20
2020-01-27,27
2020-01-28,30
2020-01-29,34
2020-01-30,34
2020-01-31,33
2020-02-01,28
2020-02-02,28
2020-02-03,27
2020-02-04,30
2020-02-05,33
2020-02-06,33
2020-02-07,32
2020-02-08,34
2020-02-09,46
2020-02-10,37
2020-02-11,40
2020-02-12,40
2020-02-13,39
2020-02-14,33
2020-02-15,35
2020-02-16,33
2020-02-17,32
2020-02-18,28
2020-02-19,35
2020-02-20,36
2020-02-21,28
2020-02-22,25
2020-02-23,27
2020-02-24,32
2020-02-25,31
2020-02-26,37
2020-02-27,38
2020-02-28,37
2020-02-29,30
2020-03-01,27
2020-03-02,30
2020-03-03,27
2020-03-04,26
2020-03-05,28
2020-03-06,29
2020-03-07,28
2020-03-08,29
2020-03-09,49
2020-03-10,36
2020-03-11,34
2020-03-12,71
2020-03-13,100
2020-03-14,63
2020-03-15,49
2020-03-16,67
2020-03-17,55
2020-03-18,48
2020-03-19,53
2020-03-20,49
2020-03-21,45
2020-03-22,43
2020-03-23,43
2020-03-24,45
2020-03-25,38
2020-03-26,35
2020-03-27,31
2020-03-28,35
2020-03-29,35
2020-03-30,33
2020-03-31,27
2020-04-01,32
2020-04-02,33
2020-04-03,35
2020-04-04,31
2020-04-05,30
2020-04-06,35
2020-04-07,36
2020-04-08,30
2020-04-09,33
2020-04-10,34
2020-04-11,33
2020-04-12,35
2020-04-13,31
2020-04-14,31
2020-04-15,33
2020-04-16,33
2020-04-17,30
2020-04-18,33
2020-04-19,28
2020-04-20,33
2020-04-21,33
2020-04-22,35
2020-04-23,41
2020-04-24,38
2020-04-25,38
2020-04-26,41
2020-04-27,40
2020-04-28,43
2020-04-29,57
2020-04-30,71
2020-05-01,48
2020-05-02,45
2020-05-03,49
2020-05-04,46
2020-05-05,45
2020-05-06,51
2020-05-07,70
2020-05-08,75
2020-05-09,57
2020-05-10,88
2020-05-11,100
2020-05-12,67
2020-05-13,58
2020-05-14,58
2020-05-15,49
2020-05-16,46
2020-05-17,47
2020-05-18,50
2020-05-19,44
2020-05-20,47
2020-05-21,44
2020-05-22,41
2020-05-23,39
2020-05-24,39
2020-05-25,43
2020-05-26,40
2020-05-27,38
2020-05-28,36
2020-05-29,34
2020-05-30,35
2020-05-31,35
2020-06-01,37
2020-06-02,58
2020-06-03,40
2020-06-04,38
2020-06-05,38
2020-06-06,34
2020-06-07,36
2020-06-08,37
2020-06-09,35
2020-06-10,38
2020-06-11,42
2020-06-12,35
2020-06-13,32
2020-06-14,32
2020-06-15,35
2020-06-16,33
2020-06-17,32
2020-06-18,33
2020-06-19,32
2020-06-20,28
2020-06-21,28
2020-06-22,34
2020-06-23,36
2020-06-24,33
2020-06-25,32
2020-06-26,33
2020-06-27,28
2020-06-28,34
2020-06-29,33
2020-06-30,32
2020-07-01,33
2020-07-02,31
2020-07-03,30
2020-07-04,33
2020-07-05,29
2020-07-06,32
2020-07-07,32
2020-07-08,34
2020-07-09,34
2020-07-10,33
2020-07-11,32
2020-07-12,30
2020-07-13,33
2020-07-14,34
2020-07-15,45
2020-07-16,49
2020-07-17,36
2020-07-18,34
2020-07-19,30
2020-07-20,30
2020-07-21,32
2020-07-22,44
2020-07-23,47
2020-07-24,45
2020-07-25,49
2020-07-26,56
2020-07-27,90
2020-07-28,100
2020-07-29,70
2020-07-30,64
2020-07-31,66
2020-08-01,79
2020-08-02,86
2020-08-03,70
2020-08-04,62
2020-08-05,68
2020-08-06,62
2020-08-07,63
2020-08-08,58
2020-08-09,53
2020-08-10,65
2020-08-11,62
2020-08-12,54
2020-08-13,54
2020-08-14,59
2020-08-15,55
2020-08-16,56
2020-08-17,68
2020-08-18,63
2020-08-19,57
2020-08-20,52
2020-08-21,51
2020-08-22,48
2020-08-23,43
2020-08-24,43
2020-08-25,48
2020-08-26,44
2020-08-27,42
2020-08-28,46
2020-08-29,38
2020-08-30,40
2020-08-31,40
2020-09-01,49
2020-09-02,51
2020-09-03,50
2020-09-04,50
2020-09-05,53
2020-09-06,44
2020-09-07,46
2020-09-08,42
2020-09-09,44
2020-09-10,40
2020-09-11,36
2020-09-12,34
2020-09-13,38
2020-09-14,37
2020-09-15,41
2020-09-16,40
2020-09-17,40
2020-09-18,37
2020-09-19,40
2020-09-20,36
2020-09-21,39
2020-09-22,34
2020-09-23,35
2020-09-24,35
2020-09-25,37
2020-09-26,36
2020-09-27,30
2020-09-28,36
2020-09-29,35
2020-09-30,31
2020-10-01,38
2020-10-02,35
2020-10-03,31
2020-10-04,32
2020-10-05,35
2020-10-06,34
2020-10-07,34
2020-10-08,39
2020-10-09,42
2020-10-10,44
2020-10-11,36
2020-10-12,41
2020-10-13,40
2020-10-14,39
2020-10-15,40
2020-10-16,40
2020-10-17,39
2020-10-18,39
2020-10-19,44
